0.6,0.3,3,0.4,111
0.593,0.066,2.371,0.411,111
0.575,0.236,2.312,0.418,102
NaN,NaN,NaN,NaN,0
0.55,0.01,2.611,0.428,111
0.678,0.255,3.55,0.47,100
0.7,0.3,2,0.3,100
0.74,0.01,4.883,0.713,109
0.67,0.269,2.16,0.403,100
NaN,NaN,NaN,NaN,0
0.547,0.01,3.09,0.467,111
0.673,0.276,2.348,0.365,100
NaN,NaN,NaN,NaN,0
0.523,0.01,3.016,0.468,110
0.759,0.222,2.333,0.438,100
1,0.5,3.5,0.5,91
0.717,0.118,4.194,0.767,121
0.703,0.323,3.198,0.46,100
NaN,NaN,NaN,NaN,0
1.951,0.268,8.827,1.206,150
0.925,0.292,3.843,0.683,100
